Step,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP
22,0.774285714,0.771428571,0.738095238,0.760952381,0.808571429,0.779047619,0.775238095,0.752380952,0.76,0.792380952,0.761904762,0.765714286,0.753333333,0.761904762,0.797142857,0.10952381,0.758095238,0.763809524,0.10952381,0.80952381
23,0.776190476,0.766666667,0.740952381,0.763809524,0.81047619,0.779047619,0.773333333,0.741904762,0.754285714,0.795238095,0.761904762,0.755238095,0.753333333,0.745714286,0.794285714,0.10952381,0.743809524,0.756190476,0.10952381,0.81047619
24,0.780952381,0.77047619,0.751428571,0.766666667,0.818095238,0.778095238,0.774285714,0.752380952,0.753333333,0.795238095,0.767619048,0.775238095,0.759047619,0.751428571,0.793333333,0.10952381,0.755238095,0.755238095,0.10952381,0.816190476
25,0.775238095,0.77047619,0.745714286,0.768571429,0.821904762,0.78,0.775238095,0.74952381,0.758095238,0.795238095,0.76952381,0.767619048,0.74952381,0.760952381,0.794285714,0.10952381,0.754285714,0.752380952,0.10952381,0.817142857
26,0.774285714,0.772380952,0.757142857,0.767619048,0.822857143,0.78,0.772380952,0.759047619,0.76,0.798095238,0.76952381,0.74952381,0.752380952,0.76,0.795238095,0.10952381,0.736190476,0.76,0.10952381,0.82
27,0.774285714,0.774285714,0.753333333,0.774285714,0.828571429,0.781904762,0.774285714,0.752380952,0.74,0.797142857,0.754285714,0.762857143,0.759047619,0.742857143,0.797142857,0.10952381,0.753333333,0.765714286,0.10952381,0.823809524
28,0.776190476,0.776190476,0.756190476,0.771428571,0.83047619,0.780952381,0.771428571,0.740952381,0.751428571,0.798095238,0.768571429,0.775238095,0.762857143,0.754285714,0.799047619,0.10952381,0.757142857,0.759047619,0.10952381,0.825714286
29,0.775238095,0.776190476,0.756190476,0.778095238,0.82952381,0.783809524,0.775238095,0.753333333,0.753333333,0.801904762,0.772380952,0.771428571,0.748571429,0.764761905,0.8,0.10952381,0.724761905,0.760952381,0.10952381,0.826666667
30,0.78,0.773333333,0.758095238,0.773333333,0.832380952,0.783809524,0.772380952,0.755238095,0.753333333,0.803809524,0.764761905,0.77047619,0.755238095,0.76,0.802857143,0.10952381,0.745714286,0.76,0.10952381,0.826666667
31,0.775238095,0.774285714,0.756190476,0.779047619,0.833333333,0.783809524,0.776190476,0.741904762,0.751428571,0.805714286,0.779047619,0.778095238,0.759047619,0.757142857,0.804761905,0.10952381,0.756190476,0.76,0.10952381,0.826666667
32,0.782857143,0.779047619,0.759047619,0.779047619,0.831428571,0.783809524,0.771428571,0.762857143,0.747619048,0.812380952,0.777142857,0.775238095,0.743809524,0.762857143,0.808571429,0.10952381,0.755238095,0.763809524,0.10952381,0.828571429
33,0.777142857,0.776190476,0.76,0.766666667,0.832380952,0.782857143,0.768571429,0.75047619,0.752380952,0.816190476,0.771428571,0.779047619,0.761904762,0.759047619,0.811428571,0.10952381,0.75047619,0.753333333,0.10952381,0.83047619
